iter	Passed	Remaining
0	2	216
1	4	196
2	5	184
3	7	173
4	8	169
5	10	166
6	12	161
7	13	158
8	15	154
9	16	152
10	18	148
11	19	145
12	21	142
13	22	138
14	23	134
15	24	130
16	25	126
17	27	123
18	28	119
19	29	116
20	30	113
21	31	111
22	32	109
23	33	107
24	34	104
25	36	102
26	37	100
27	38	98
28	39	96
29	40	94
30	41	91
31	42	89
32	43	87
33	43	85
34	44	83
35	45	81
36	46	79
37	47	77
38	48	75
39	49	73
40	50	71
41	50	69
42	51	67
43	51	66
44	52	64
45	53	62
46	54	60
47	54	59
48	55	57
49	56	56
50	56	54
51	57	53
52	58	51
53	59	50
54	59	48
55	60	47
56	60	45
57	61	44
58	61	43
59	62	41
60	63	40
61	63	39
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	67	31
68	68	30
69	69	29
70	70	28
71	70	27
72	71	26
73	72	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	16
82	77	15
83	78	14
84	79	13
85	79	12
86	80	12
87	81	11
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	87	0
99	88	0
